rank,title,pages,type,course,academic_year,rating,url,document_id
1,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 PAEDIATRIC EXAM 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-2-paediatric/124893849?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,124893849
2,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 PAEDIATRIC EXAM MARCH 2014,,,,,,https://www.studocu.com/en-us/document/university-of-eastern-africa-baraton/nursing-foundations/839766296-year-1-sem-2-paediatric-docx-by-arena-students/134275816?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,134275816
3,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 EXAM MARCH 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-2-specialized-procedures-1/151757576?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,151757576
4,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 FAMILY PLANNING EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-2-family-planning/151698620?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,151698620
5,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 ABNORMAL MIDWIFERY,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/abdominal-midwifery-supp-sept-2012-17-june-2014/138879222?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,138879222
6,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 PHARMACOLOGY EXAM 2014,,,,,,https://www.studocu.com/en-us/document/sr-leonella-consolata-medical-college/geriatrics-palliative-nursing/year-1-sem-2-pharmacology/136245211?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,136245211
7,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 2 PALLIATIVE EXAM 2014,,,,,,https://www.studocu.com/en-us/document/sr-leonella-consolata-medical-college/geriatrics-palliative-nursing/year-1-sem-2-palliative-hbc/136245208?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,136245208
8,KENYA MEDICAL TRAINING COLLEGE NYAMIRA YEAR 1 SEM 2 MIDWIFERY CAT 1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nursing-midwifery/year-1-sem-2-midwifery-cat-1/132718473?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,132718473
9,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 MICROBIOLOGY EXAM 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/medical-laboratory-science/year-1-sem-1-microbiology/132718436?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,132718436
10,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM II EXAM MARCH 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-ii-specialized-procedures/151757508?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,151757508
11,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 MICROBIOLOGY EXAM 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-microbiology-1/143964101?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,143964101
12,KENYA MEDICAL TRAINING COLLEGE KRCHN MIDWIFERY YEAR 1 SEM 1 EXAM 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-midwifery-1/143963641?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,143963641
13,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 2 SEM 1 PREOP NURSING EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/preoperative-nursing-years-2-semester-1/132520452?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,132520452
14,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 ENVIRONMENTAL HEALTH EXAM 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-environmental-health-2/143964107?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,143964107
15,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 MIDWIFERY EXAM MARCH 2014,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-special-midwifery-2/132718493?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,132718493
16,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 2 SEM 1 EXAM MARCH 2013: ALIMENTARY,,,,,,https://www.studocu.com/en-us/document/maseno-university/nursing/alimentary-march-13/128476545?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,128476545
17,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 COMM SKILLS EXAM 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-communication-skills/129733009?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,129733009
18,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 ENVIRONMENTAL HEALTH EXAM 2015,,,,,,https://www.studocu.com/en-us/document/chuka-university/community-participation/year-1-sem-1-environmental-health-check-it-outcommunity-health/135156435?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,135156435
19,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 SOCIAL ANTHROPOLOGY EXAM 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-social-1-revision-questions/143964089?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,143964089
20,YEAR 1 SEM 2 - Specialized Procedures SUPP EXAMINATION Guide,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-2-specialized-procedures/104782380?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,104782380
21,Abnormal Midwifery CAT-1 for Year 1 Sem 2 - KMTC September 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/year-1-sem-2-midwifery-cat-1/94201048?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,94201048
22,Med/Surgical Nursing Exam - Year 1 Sem 2 - KMTC/QP-07/TIS,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/med-surgical-nothing/70263089?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,70263089
23,Respiratory Disorders Exam â€“ KMTC KRCHN Year 1 Sem 2 2016,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nursing-research/respiratory-disorders/66976949?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,66976949
24,MNP 1206 Ward Management Objectives - Year 1 Sem 2 Clinical Placement,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/ward-management-objectives-krchn/126417295?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,126417295
25,KMTC Homa Bay Campus Year 1 Sem 2 Module 9: Pharmacology I Outline,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/1-pharmacology-outline/151538337?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,151538337
26,Microbiology Notes D-EMT Final Exam Year 1 Sem 2 2025,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/emergency-medical-technician/microbiology-notes-d-emt-final/150267902?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,150267902
27,Health Statistics II Exam Marking Key - KMTC Year 1 Sem 2,,,,,,https://www.studocu.com/en-us/document/kisumu-kenya-medical-training-college/health-records-and-information-technology/health-statistics-ii-marking-key-kminta/142411549?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,142411549
28,SOUTHERN MEDICAL TRAINING MORTUARY YEAR 1 SEM 2 END OF TERM EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-assistant/moq-these-are-lecture-notes-for-diploma-students-in-mortuary-science/141828876?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,141828876
29,SOUTHERN MEDICAL TRAINING YEAR 1 SEM 2 2025 END OF TERM EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-assistant/medical-terms/141828873?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,141828873
30,KENYA MEDICAL TRAINING COLLEGE KRCHN END OF YEAR 2 SEM 1 EXAM 2013: ENDOCRINE,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/endocrine-2013-practical-materials/134192063?queryID=581617d5de6faa8af18fff1456df9493&origin=search-results,134192063
1,Introduction to Med-Surg Course Outline (YEAR 1 SEM 2),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nursing-midwifery/introduction-to-med-surg-outline-2x/93951024?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,93951024
2,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 3 SEM 1 EXAM SEPT 2015,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/child-immunizable-diseases/137127011?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,137127011
3,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 FUNDAMENTALS OF NURSING EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-fundamentals-2/143963772?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,143963772
4,"KENYA MEDICAL TRAINING COLLEGE YEAR 2, END OF SEM 1 EXAM: RENAL NURSING",,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/orthopaedic-nursingendocrinology/132722572?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,132722572
5,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 NUTRITION EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nutrition-and-dietetics/year-1-sem-1-nutrition-to-excel-in-your-academic-journey-having-the-right-study-materials-is-paramount/132718325?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,132718325
6,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 NUTRITION PRACTICE MATERIALS,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-nutrition-this-are-practice-materials/127949314?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,127949314
7,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 SEXUALITY REVISION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-sexuality-revision/151698674?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,151698674
8,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 COMMUNITY HEALTH EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/community-health-year-1-semester-1/149872704?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,149872704
9,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 COMM SKILLS EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college-kapkatet-campus/nursing/year-1-sem-1-communication-skills/145204740?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,145204740
10,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 SEXUALITY REVISION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-sexuality-revision/129733001?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,129733001
11,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 HEALTH PROMOTION EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-health-promotion/129732992?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,129732992
12,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM II Abnormal Midwifery Exam,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-ii-abnormal-midwifery/151698299?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,151698299
13,KENYA MEDICAL TRAINING COLLEGE KEPI YEAR 1 SEM II REVISION QUESTIONS,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-ii-kepi-revision-questions/150944520?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,150944520
14,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 ANATOMY REVISION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-anatomy-revision/150745546?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,150745546
15,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 ANATOMY EXAM REVISION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-anatomy-revision-questions/143964103?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,143964103
16,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 RE-SIT EXAM: FIRST AID,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/re-sit-end-of-semester-1-first-aid/137635645?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,137635645
17,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 ANATOMY & PHYSIOLOGY REVISION,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-a-p-revision/129733014?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,129733014
18,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 SOCIAL ANTHROPOLOGY EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-social-anthropology/129732999?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,129732999
19,KENYA MEDICAL TRAINING COLLEGE KRCHN YEAR 1 SEM 1 COUNSELLING EXAM,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-counselling2/129732987?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,129732987
20,KENYA MEDICAL TRAINING COLLEGE PSYCHOLOGY EXAM YEAR 1 SEM 1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/human-psychology/year-1-sem-1-psychology-1/132718269?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,132718269
21,KENYA MEDICAL TRAINING COLLEGE PSYCHOLOGY EXAMINATION YEAR 1 SEM 1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/year-1-sem-1-psychology/129732975?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,129732975
22,KENYA MEDICAL TRAINING COLLEGE KRCHN END OF YEAR 3 SEM 1 EXAM SEPT 2015:,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/communicable-diseases/137126997?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,137126997
23,KENYA MEDICAL TRAINING COLLEGE YEAR 1 END OF SEMESTER 2 EXAMS FOR DIPLOMA IN COMMUNITY HEALTH NURSING,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/pdf-scanner-12-end-of-sem/116107462?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,116107462
24,PUMWANI MATERNITY COLLEGE NURSING MIDWIFERY BASIC SEM 2 YEAR 1 RENAL NURSING,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/nursing-council-questions/gud-exam-nursing-licensure-examination-material/136327326?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,136327326
25,"Epidemiology Diploma Exam Questions - March 2019 (Year 1, Sem 1)",,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/health-records-and-information-technology/epidemiology-march-2019/39502116?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,39502116
26,Neurology Exam Notes - KMTC/QP-07/TIS (End of Year 2 Sem 1),,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/neurology-notes/30002351?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,30002351
27,KMTC Year 2 Sem 1 Exam: Basic Principles of Medicine,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/21-principles-of-medicineca/134096428?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,134096428
28,KRNM Year 2 Sem 1 Safe Motherhood Exam Revision - March 2019,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/kenya-registered-community-health-nursing/krnm-safe-motherhood-revision/151538343?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,151538343
29,Emulsions Stability and Preparation - Year 2 Sem 1 Notes,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/pharmacy/emulsions-year-2-semester-1/150022244?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,150022244
30,MCQS on Biliary and Alimentary Diseases - Year 2 Sem 1,,,,,,https://www.studocu.com/en-us/document/kenya-medical-training-college/community-health-nursing/billiary-notes/139995788?queryID=9b4ffd63945b5282ba7174f2e01dde2e&origin=search-results,139995788
